,0,1,2,3
0,515020.SH,100782.41,100000,0.7824100000000035
1,515650.SH,99597.9,100000,-0.40210000000000584
2,515810.SH,99266.131,100000,-0.7338690000000061
3,515860.SH,99310.82500000001,100000,-0.6891749999999883
4,515520.SH,101107.01999999999,100000,1.1070199999999895
5,515360.SH,100810.71,100000,0.8107100000000064
6,512970.SH,101208.45899999999,100000,1.208458999999988
7,515050.SH,98553.598,100000,-1.4464020000000017
8,510100.SH,98176.287,100000,-1.8237130000000035
9,512530.SH,99682.143,100000,-0.3178570000000036
10,515880.SH,93309.293,100000,-6.690706999999994
11,515300.SH,98921.14499999999,100000,-1.0788550000000106
12,512190.SH,97136.08899999999,100000,-2.863911000000007
13,159968.SZ,98844.993,100000,-1.155006999999998
14,512650.SH,100796.7,100000,0.7966999999999971
15,512710.SH,88021.91999999998,100000,-11.978080000000016
16,515000.SH,114189.335,100000,14.189335000000005
17,512930.SH,92612.88399999999,100000,-7.387116000000009
18,512720.SH,98215.75000000001,100000,-1.7842499999999855
19,512670.SH,99530.96,100000,-0.4690399999999936
20,513000.SH,102805.494,100000,2.805494000000006
21,513520.SH,104406.588,100000,4.406588000000004
22,513800.SH,100710.64,100000,0.7106399999999995
23,513880.SH,102617.605,100000,2.6176049999999957
24,512910.SH,101187.56999999999,100000,1.1875699999999925
25,512750.SH,102179.708,100000,2.1797079999999984
26,512170.SH,97315.185,100000,-2.684815000000002
27,510350.SH,100029.963,100000,0.029963000000003376
28,512760.SH,114161.40000000001,100000,14.16140000000001
29,512480.SH,106124.88,100000,6.1248800000000045
30,510890.SH,94757.83,100000,-5.242169999999998
31,512290.SH,119540.19,100000,19.540190000000003
32,512690.SH,92641.572,100000,-7.358428
33,512380.SH,103256.72000000002,100000,3.2567200000000156
34,512270.SH,86528.97,100000,-13.471029999999997
35,512590.SH,94255.264,100000,-5.744736000000004
36,512150.SH,97633.27399999999,100000,-2.3667260000000097
37,512890.SH,92740.04999999999,100000,-7.259950000000012
38,512870.SH,85929.096,100000,-14.070903999999995
39,513680.SH,94119.06999999999,100000,-5.880930000000008
40,510850.SH,88683.896,100000,-11.316104000000006
41,512260.SH,94497.02500000001,100000,-5.502974999999991
42,510550.SH,98134.31999999999,100000,-1.8656800000000073
43,512920.SH,108656.85599999999,100000,8.656855999999985
44,512040.SH,106178.472,100000,6.178471999999995
45,512820.SH,96528.516,100000,-3.4714839999999967
46,159959.SZ,101473.658,100000,1.4736579999999957
47,512950.SH,94109.855,100000,-5.890145000000004
48,512960.SH,85514.34,100000,-14.485660000000003
49,512850.SH,95190.74,100000,-4.809259999999995
50,512860.SH,112253.48099999999,100000,12.253480999999985
51,510600.SH,101704.677,100000,1.7046769999999962
52,512770.SH,114450.176,100000,14.450176000000006
53,512360.SH,103580.97899999999,100000,3.5809789999999917
54,512390.SH,113223.94,100000,13.223940000000004
55,512090.SH,91993.278,100000,-8.006721999999995
56,513900.SH,89671.06499999999,100000,-10.328935000000012
57,512280.SH,96706.98000000001,100000,-3.2930199999999896
58,512520.SH,106762.756,100000,6.762755999999993
59,512780.SH,75702.774,100000,-24.297225999999995
60,512180.SH,100416.564,100000,0.41656399999999855
61,512160.SH,105532.44,100000,5.532440000000002
62,510590.SH,93645.677,100000,-6.3543230000000035
63,159954.SZ,89467.46999999999,100000,-10.532530000000014
64,510380.SH,107415.40499999998,100000,7.415404999999985
65,512980.SH,110382.998,100000,10.382998000000008
66,510390.SH,106208.96,100000,6.2089600000000065
67,510800.SH,101572.304,100000,1.572304000000004
68,512200.SH,107760.23999999999,100000,7.760239999999991
69,512400.SH,94072.23000000001,100000,-5.92776999999999
70,512570.SH,100952.612,100000,0.9526119999999937
71,512800.SH,95523.82,100000,-4.476179999999993
72,512560.SH,114143.19499999999,100000,14.143194999999992
73,512550.SH,110808.73500000002,100000,10.808735000000015
74,512700.SH,98694.57500000001,100000,-1.3054249999999883
75,159953.SZ,76423.215,100000,-23.576785000000005
76,159952.SZ,111036.75800000002,100000,11.036758000000017
77,512900.SH,91179.99,100000,-8.820009999999995
78,512580.SH,86661.864,100000,-13.338135999999997
79,513050.SH,129747.48400000001,100000,29.747484000000014
80,512100.SH,110884.893,100000,10.884892999999996
81,512000.SH,96939.102,100000,-3.0608980000000012
82,512680.SH,114149.288,100000,14.149288000000002
83,512810.SH,108479.44800000002,100000,8.47944800000002
84,510810.SH,91163.19900000001,100000,-8.836800999999992
85,512880.SH,105019.468,100000,5.019467999999994
86,512660.SH,97104.345,100000,-2.8956549999999988
87,510580.SH,71430.04500000001,100000,-28.569954999999986
88,510360.SH,107851.485,100000,7.851485000000001
89,512330.SH,106309.28,100000,6.309279999999999
90,159944.SZ,86173.647,100000,-13.826353000000003
91,159941.SZ,101267.436,100000,1.2674360000000016
92,159943.SZ,91068.60700000002,100000,-8.931392999999982
93,510560.SH,91124.446,100000,-8.875554000000003
94,510710.SH,100778.67499999999,100000,0.7786749999999883
95,512510.SH,87542.12,100000,-12.457880000000005
96,512500.SH,84727.49999999999,100000,-15.272500000000013
97,512340.SH,95156.594,100000,-4.8434060000000025
98,512310.SH,96244.82,100000,-3.7551799999999926
99,512990.SH,93148.368,100000,-6.851631999999998
100,513660.SH,104459.32199999999,100000,4.459321999999986
101,513600.SH,90434.696,100000,-9.565304000000003
102,512300.SH,119782.971,100000,19.782971000000003
103,513030.SH,104230.29600000002,100000,4.230296000000017
104,512220.SH,99134.40599999999,100000,-0.8655940000000119
105,512070.SH,101185.968,100000,1.1859679999999935
106,512640.SH,81251.19,100000,-18.748809999999995
107,512610.SH,129053.315,100000,29.053315
108,512600.SH,112865.96999999999,100000,12.865969999999988
109,513500.SH,100683.708,100000,0.6837079999999988
110,512120.SH,101937.36700000001,100000,1.9373670000000132
111,510680.SH,89556.0,100000,-10.444
112,512010.SH,117340.03199999999,100000,17.34003199999999
113,159933.SZ,82498.336,100000,-17.501664000000005
114,159932.SZ,114987.56399999998,100000,14.987563999999983
115,159930.SZ,116417.998,100000,16.417998000000004
116,159931.SZ,113177.99500000001,100000,13.17799500000001
117,159929.SZ,133492.62,100000,33.492619999999995
118,159928.SZ,115513.15000000001,100000,15.513150000000008
119,513100.SH,107689.185,100000,7.689184999999997
120,510510.SH,85522.99200000001,100000,-14.477007999999989
121,510630.SH,120616.65000000001,100000,20.616650000000007
122,510650.SH,107516.168,100000,7.516168000000005
123,510660.SH,118507.845,100000,18.507845
124,510310.SH,98101.14,100000,-1.8988600000000004
125,159923.SZ,110284.934,100000,10.284933999999994
126,159922.SZ,90080.079,100000,-9.919921000000002
127,510500.SH,89229.79800000001,100000,-10.77020199999999
128,510330.SH,99605.101,100000,-0.3948990000000049
129,510440.SH,102510.8,100000,2.510800000000003
130,510430.SH,79417.89899999999,100000,-20.582101000000012
131,510900.SH,88364.54999999999,100000,-11.635450000000011
132,159920.SZ,97291.37,100000,-2.7086300000000048
133,159919.SZ,99919.575,100000,-0.08042500000000291
134,510300.SH,95633.28499999999,100000,-4.366715000000012
135,510410.SH,85502.662,100000,-14.497338000000004
136,159912.SZ,101568.35699999999,100000,1.568356999999989
137,510290.SH,94289.496,100000,-5.710504000000001
138,510270.SH,121425.31999999999,100000,21.425319999999992
139,510120.SH,102313.98000000001,100000,2.3139800000000106
140,510230.SH,94865.514,100000,-5.134486000000004
141,510210.SH,103837.991,100000,3.837990999999995
142,510220.SH,100083.614,100000,0.0836140000000014
143,510150.SH,105319.897,100000,5.319896999999997
144,510170.SH,105543.20000000001,100000,5.543200000000011
145,510190.SH,110153.766,100000,10.153766000000003
146,510110.SH,94793.875,100000,-5.206125
147,510160.SH,103217.31,100000,3.2173099999999977
148,510090.SH,115427.76,100000,15.427759999999996
149,510030.SH,99395.829,100000,-0.6041710000000021
150,510130.SH,102349.418,100000,2.3494180000000053
151,510020.SH,105778.2,100000,5.778199999999997
152,159903.SZ,93830.76,100000,-6.169240000000005
153,510010.SH,99980.98599999999,100000,-0.019014000000010127
154,510060.SH,110573.1,100000,10.573100000000005
155,510880.SH,88225.34400000001,100000,-11.774655999999988
156,510180.SH,97815.27200000001,100000,-2.1847279999999882
157,159901.SZ,105453.70999999999,100000,5.453709999999992
158,510050.SH,108312.204,100000,8.312203999999998
